"","code","borough","ward_name","year","population","hectares","square_kilometres","population_per_hectare","population_per_square_kilometre"
"221","E05000246","Hackney","Springfield",2022,14128,95.2,0.952,148.4033613,14840.33613
"222","E05000247","Hackney","Stoke Newington Central",2022,13464,71.2,0.712,189.1011236,18910.11236
"223","E05000248","Hackney","Victoria",2022,14325,80.4,0.804,178.1716418,17817.16418
"224","E05000249","Hackney","Wick",2022,13775,163.2,1.632,84.40563725,8440.563725
"225","E05000250","Hammersmith and Fulham","Addison",2022,11721,55.3,0.553,211.9529837,21195.29837
"226","E05000251","Hammersmith and Fulham","Askew",2022,14869,75.9,0.759,195.9025033,19590.25033
"227","E05000252","Hammersmith and Fulham","Avonmore and Brook Green",2022,11991,89.5,0.895,133.9776536,13397.76536
"228","E05000253","Hammersmith and Fulham","College Park and Old Oak",2022,13452,344,3.44,39.10465116,3910.465116
"229","E05000254","Hammersmith and Fulham","Fulham Broadway",2022,12506,66.7,0.667,187.4962519,18749.62519
"230","E05000255","Hammersmith and Fulham","Fulham Reach",2022,12433,88.2,0.882,140.9637188,14096.37188
"231","E05000256","Hammersmith and Fulham","Hammersmith Broadway",2022,15722,110.4,1.104,142.4094203,14240.94203
"232","E05000257","Hammersmith and Fulham","Munster",2022,11137,62.3,0.623,178.7640449,17876.40449
"233","E05000258","Hammersmith and Fulham","North End",2022,12340,63.8,0.638,193.4169279,19341.69279
"234","E05000259","Hammersmith and Fulham","Palace Riverside",2022,7452,148.1,1.481,50.31735314,5031.735314
"235","E05000260","Hammersmith and Fulham","Parsons Green and Walham",2022,11362,89.8,0.898,126.5256125,12652.56125
"236","E05000261","Hammersmith and Fulham","Ravenscourt Park",2022,10905,122,1.22,89.3852459,8938.52459
"237","E05000262","Hammersmith and Fulham","Sands End",2022,15320,137.7,1.377,111.2563544,11125.63544
"238","E05000263","Hammersmith and Fulham","Shepherd's Bush Green",2022,15346,106.7,1.067,143.8238051,14382.38051
"239","E05000264","Hammersmith and Fulham","Town",2022,11261,65,0.65,173.2461538,17324.61538
"240","E05000265","Hammersmith and Fulham","Wormholt and White City",2022,13588,90.4,0.904,150.3097345,15030.97345
"241","E05000266","Haringey","Alexandra",2022,12677,261.3,2.613,48.51511672,4851.511672
"242","E05000267","Haringey","Bounds Green",2022,15047,138.4,1.384,108.7210983,10872.10983
"243","E05000268","Haringey","Bruce Grove",2022,15452,93.1,0.931,165.972073,16597.2073
"244","E05000269","Haringey","Crouch End",2022,13737,144,1.44,95.39583333,9539.583333
"245","E05000270","Haringey","Fortis Green",2022,13941,199.4,1.994,69.91474423,6991.474423
"246","E05000271","Haringey","Harringay",2022,15158,156.2,1.562,97.04225352,9704.225352
"247","E05000272","Haringey","Highgate",2022,13049,249.9,2.499,52.21688675,5221.688675
"248","E05000273","Haringey","Hornsey",2022,13830,105.5,1.055,131.0900474,13109.00474
"249","E05000274","Haringey","Muswell Hill",2022,12647,165.2,1.652,76.55569007,7655.569007
"250","E05000275","Haringey","Noel Park",2022,18025,123,1.23,146.5447154,14654.47154
"251","E05000276","Haringey","Northumberland Park",2022,18722,188.3,1.883,99.42644716,9942.644716
"252","E05000277","Haringey","St Ann's",2022,16128,109.7,1.097,147.0191431,14701.91431
"253","E05000278","Haringey","Seven Sisters",2022,18693,129.2,1.292,144.6826625,14468.26625
"254","E05000279","Haringey","Stroud Green",2022,12615,109.5,1.095,115.2054795,11520.54795
"255","E05000280","Haringey","Tottenham Green",2022,18147,136.1,1.361,133.3357825,13333.57825
"256","E05000281","Haringey","Tottenham Hale",2022,21205,191.1,1.911,110.9628467,11096.28467
"257","E05000282","Haringey","West Green",2022,14718,139.8,1.398,105.27897,10527.897
"258","E05000283","Haringey","White Hart Lane",2022,13341,169.7,1.697,78.6152033,7861.52033
"259","E05000284","Haringey","Woodside",2022,16373,149.2,1.492,109.7386059,10973.86059
"260","E05000285","Harrow","Belmont",2022,11685,177.9,1.779,65.68296796,6568.296796
"261","E05000286","Harrow","Canons",2022,15535,563.1,5.631,27.5883502,2758.83502
"262","E05000287","Harrow","Edgware",2022,13872,140.1,1.401,99.01498929,9901.498929
"263","E05000288","Harrow","Greenhill",2022,18445,174.7,1.747,105.580996,10558.0996
"264","E05000289","Harrow","Harrow on the Hill",2022,13354,357.5,3.575,37.35384615,3735.384615
"265","E05000290","Harrow","Harrow Weald",2022,11968,458.9,4.589,26.07975594,2607.975594
"266","E05000291","Harrow","Hatch End",2022,11183,328.1,3.281,34.08412069,3408.412069
"267","E05000292","Harrow","Headstone North",2022,11630,329.5,3.295,35.29590288,3529.590288
"268","E05000293","Harrow","Headstone South",2022,12345,146.2,1.462,84.43912449,8443.912449
"269","E05000294","Harrow","Kenton East",2022,11119,128.1,1.281,86.79937549,8679.937549
"270","E05000295","Harrow","Kenton West",2022,11778,176.5,1.765,66.73087819,6673.087819
"271","E05000296","Harrow","Marlborough",2022,15142,164.6,1.646,91.9927096,9199.27096
"272","E05000297","Harrow","Pinner",2022,10488,327,3.27,32.0733945,3207.33945
