gss_code,five_min_area,count_5m,ten_min_area,count_10m,fifteen_min_area,count_15m,twenty_min_area,count_20m,twenty_five_min_area,count_25m,twenty_five_plus_area,count_25_plus,ward_name.x,borough_name,borough_area,os_area,open_space_with_access,med_caring,med_enjoying,med_learning,med_living,med_supplying,med_div_score,med_prox_score,med_total_score,med_func_comp,med_log_func_comp,ward_name.y,ward_hectares,borough.x,ward_name2,borough.y,ward_name,year,population,hectares,square_kilometres,population_per_hectare,population_per_square_kilometre
E05000057,370004.37001025,"37",1090001.51000897,"109",919995.33994824,"92",1060002.6700211,"106",1139999.26985207,"114",4819993.97017218,"482",Mill Hill,Barnet,9389235.465,5542637.247,1484350.581,2,5,1,4,4,1,0,1,2.2,0.78845736036427,Mill Hill,938.921,Barnet,Mill Hill,Barnet,Mill Hill,"2022","25613",938.7,9.387,27.28560776,2728.560776
E05000058,549999.40003289,"55",1049996.16993685,"105",940008.80006451,"94",450000.12001702,"45",239999.51993493,"24",89999.19002442,"9",Oakleigh,Barnet,3318592.645,506535.2621,55651.47033,2,7,3,3,3,0.8,0.6,1.4,3.8,1.33500106673234,Oakleigh,331.861,Barnet,Oakleigh,Barnet,Oakleigh,"2022","17029",331.7,3.317,51.33855894,5133.855894
E05000059,359996.89990036,"36",949997.75019203,"95",1440010.59990688,"144",840001.52986642,"84",769996.79022399,"77",4400000.32983832,"440",Totteridge,Barnet,8774457.495,5065871.282,1038657.97,0,2,1,3,0,0.6,0,0.8,1,0,Totteridge,877.446,Barnet,Totteridge,Barnet,Totteridge,"2022","17730",876.8,8.768,20.22125912,2022.125912
E05000060,200005.62003983,"20",669996.58000344,"67",1199997.52988634,"120",699995.56005069,"70",170002.61999774,"17",1530842.64048436,"153",Underhill,Barnet,4550548.72,1990949.737,1399026.932,2,3,1,3,5,0.8,0.4,1.2,3.2,1.16315080980568,Underhill,455.053,Barnet,Underhill,Barnet,Underhill,"2022","16592",455.2,4.552,36.44991213,3644.991213
E05000061,469998.61012543,"47",950006.1498621,"95",630001.22005034,"63",59997.12002541,"6",,,29998.90000185,"3",West Finchley,Barnet,2163447.735,289271.4108,131627.3122,2,2,1,4,2,0.8,0.8,1.6,1.8,0.587786664902119,West Finchley,216.344,Barnet,West Finchley,Barnet,West Finchley,"2022","17794",216.1,2.161,82.34150856,8234.150856
E05000062,480002.8700769,"48",1059999.55987445,"106",890003.69005142,"89",360005.35003033,"36",119999.30002092,"12",469998.25989645,"47",West Hendon,Barnet,3428659.235,1096983.664,931611.5034,1,5,1,4,3,0.8,0.6,1.4,1.4,0.336472236621213,West Hendon,342.865,Barnet,West Hendon,Barnet,West Hendon,"2022","21265",342.6,3.426,62.06946877,6206.946877
E05000063,200001.20000098,"20",949999.69994826,"95",779999.59990368,"78",509999.37001074,"51",110002.22000929,"11",90001.8500085,"9",Woodhouse,Barnet,2621158.47,505656.2919,220856.0551,6,17,1,7,6,1,0.6,1.4,8.8,2.17475172148416,Woodhouse,262.117,Barnet,Woodhouse,Barnet,Woodhouse,"2022","18844",261.2,2.612,72.143951,7214.3951
E05000064,349997.29993621,"35",660003.6101306,"66",759997.20001547,"76",480005.27994459,"48",340000.84002453,"34",300001.65992936,"30",Barnehurst,Bexley,2877358.655,1035217.591,921934.1314,1,4,1,2,4,0.8,0.6,1.4,3.2,1.16315080980568,Barnehurst,287.74,Bexley,Barnehurst,Bexley,Barnehurst,"2022","11441",287,2.87,39.8641115,3986.41115
E05000065,240000.99999174,"24",660007.71000502,"66",459996.01994914,"46",429995.78009016,"43",420000.8900308,"42",669997.76995917,"67",Belvedere,Bexley,3175481.275,1052138.782,736014.7196,0,2,1,3,2,0.6,0.4,1.2,1.6,0.470003629245736,Belvedere,317.549,Bexley,Belvedere,Bexley,Belvedere,"2022","13709",316.1,3.161,43.36918697,4336.918697
E05000066,239998.18005896,"24",459996.94988064,"46",450002.61996762,"45",440002.00004377,"44",60000.95000141,"6",,,Blackfen and Lamorbey,Bexley,1685581.575,159861.8776,142932.7918,3,6,0,5,6,0.8,0.6,1.4,4,1.38629436111989,Blackfen and Lamorbey,168.558,Bexley,Blackfen and Lamorbey,Bexley,Blackfen and Lamorbey,"2022","10973",168.7,1.687,65.04445762,6504.445762
