"","gss_code","med_caring","med_enjoying","med_learning","med_living","med_supplying","med_div_score","med_prox_score","med_total_score","med_func_comp","med_log_func_comp","ward_name","ward_hectares","borough","ward_name2"
"181","E05000181",3,4,0.5,2,9,0.8,0.8,1.6,3.6,1.28093384546206,"Lady Margaret",154.182,"Ealing","Lady Margaret"
"182","E05000182",0,4,3,2,2,0.6,0.6,1.2,1.2,0.182321556793955,"Northfield",154.011,"Ealing","Northfield"
"183","E05000183",2,4,1,2,5,0.8,0.6,1.4,2.4,0.8754687373539,"North Greenford",325.737,"Ealing","North Greenford"
"184","E05000184",1,2,0,2,2,0.8,0.6,1.4,1.6,0.470003629245735,"Northolt Mandeville",275.664,"Ealing","Northolt Mandeville"
"185","E05000185",2,5,0.5,2,8,0.8,0.4,1.2,3.8,1.33500106673234,"Northolt West End",354.536,"Ealing","Northolt West End"
"186","E05000186",2,1,1,2,5,0.8,0.6,1.4,1.8,0.587786664902119,"Norwood Green",379.609,"Ealing","Norwood Green"
"187","E05000187",3,4,0,3,9,0.8,0.6,1.4,3.8,1.33500106673234,"Perivale",336.775,"Ealing","Perivale"
"188","E05000188",0,5,0,4,4.5,0.6,0.8,1.4,2.8,1.02961941718116,"South Acton",171.92,"Ealing","South Acton"
"189","E05000189",2,5,2,4,9,0.7,0.6,1.2,1.8,0.587786664902119,"Southall Broadway",161.725,"Ealing","Southall Broadway"
"190","E05000190",4,2,1,3,6,1,0.6,1.6,2.2,0.78845736036427,"Southall Green",158.616,"Ealing","Southall Green"
"191","E05000191",2,3,1,2,2,0.8,0.8,1.6,2.6,0.955511445027436,"Southfield",142.869,"Ealing","Southfield"
"192","E05000192",27,104,16,27,84,1,0.6,1.6,51.6,3.94352167248752,"Walpole",146.596,"Ealing","Walpole"
"193","E05000193",0,2,2,1,2,0.8,0.8,1.4,1,0,"Bowes",148.337,"Enfield","Bowes"
"194","E05000194",2,3,1,3,3,1,0.8,1.4,2.8,1.02961941718116,"Bush Hill Park",252.449,"Enfield","Bush Hill Park"
"195","E05000195",2,2,1,1,0,0.8,0,0.8,1.4,0.336472236621213,"Chase",1693.541,"Enfield","Chase"
"196","E05000196",2,2,1,2,1,0.8,0,1,1.6,0.470003629245736,"Cockfosters",1041.279,"Enfield","Cockfosters"
"197","E05000197",1,3,2,1,7,0.8,0.6,1.6,2.4,0.8754687373539,"Edmonton Green",312.642,"Enfield","Edmonton Green"
"198","E05000198",0,3,0,2,1,0.6,0.6,1,1.2,0.182321556793955,"Enfield Highway",463.653,"Enfield","Enfield Highway"
"199","E05000199",1,4,1,4,3,0.8,0.6,1.4,2.4,0.8754687373539,"Enfield Lock",325.231,"Enfield","Enfield Lock"
"200","E05000200",8,3,1,5,3,0.8,0.6,1.4,3.2,1.16315080980568,"Grange",328.516,"Enfield","Grange"
"201","E05000201",0,4,0,2,3,0.6,0.8,1.4,1.6,0.470003629245736,"Haselbury",179.602,"Enfield","Haselbury"
"202","E05000202",2,2,1,1,3,0.8,0.4,1.2,1.8,0.587786664902119,"Highlands",508.803,"Enfield","Highlands"
"203","E05000203",1,3,1,2,3,0.8,0.4,1.4,1.6,0.470003629245736,"Jubilee",392.833,"Enfield","Jubilee"
"204","E05000204",1,3,0,4,3,0.8,0.8,1.4,2.2,0.78845736036427,"Lower Edmonton",218.248,"Enfield","Lower Edmonton"
"205","E05000205",2,2,1,0,5,0.6,0.8,1.4,1,0,"Palmers Green",194.212,"Enfield","Palmers Green"
